Session Title,Date,Time Start,Time End,Room/Location,Schedule Track (Optional),Description (Optional)
Chris Gardner: Intermediate Xbox 360 Development with the XNA Framework,01/10/2013,11:00 AM,12:00 PM,Indigo Bay,Game Development,"The methods for producing quality games that perform in real time are much different than the methods used to produce quality productivity software. Sure, you've slapped some sprites on the screen, but do you have the tools to turn those sprites into a full experience. This session will present attendees with the nuances of proper game design by introducing topics such as the game components, sprite animation, background music, sound effects, and threading."
Rob Gillen: Into the Mind of a Hacker. (Wednesday Half Day PM),01/09/2013,1:30 PM,5:30 PM,Ironwood,Security,"In this session Bill and Rob dig deep into the world of exploits and malware with a specific emphasis on explaining the process by which these tools are created and reverse engineered. This is a step well beyond running ""exploit"" from within msfconsole and attendees should expect to see a fair bit of assembly and register-level debugging.
 
The purpose of this session is not to build an army of cyber miscreants but rather to help you understand how attackers look at your software, and the types of things they are looking to exploit. You will leave this session with a better idea of how you can protect your applications from being an unknown carrier of the next bit of malware to sweep the 'Net.
 
This session starts with a demonstration of crafting an exploit (identifying a weakness, testing for specific vulnerabilities, execution and ""weaponization"").  We then dig into the internals of Windows and arm you with the tools and understanding to begin working through an exploited machine and understanding what the malware has been doing on the infected system.
"
Steve Horn: Intro to GIS and Mapping on the Internet Using Free and Open Source Tools,01/11/2013,3:35 PM,4:35 PM,Guava/Tamarind,Other,"Let's dive into the depths of GIS and mapping on the Internet. OpenLayers, Google Maps javascript API, PostGIS, GeoServer, and others. There is an opportunity now with Javascript APIs and amazing open source GIS servers/tools to express your creativity by building beautiful maps, and visualize information like never before. We will cover the basics of building a browser based mapping application, and go behind the scenes with the very capable PostGIS (built on PostgreSQL), and show you how these tools all fit together to build a complete solution."
Parag Joshi: Introducing Android,01/10/2013,9:45 AM,10:45 AM,Zambezi,Mobile,"If you are new to Android this session is for you. We will cover Android basics and then walk through building an application to display data from a web service. We will parse the JSON returned and display it. We will also cover async tasks and how to cascade async operations.

Additionally we will cover how to store and retrieve settings in your application. This session will cover a variety of aspects that come in play when designing an android enterprise application.  We will also discuss fragments.

If you would like to follow along, bring a laptop with android sdk loaded. "
Adam Ryder: Introducing PhoneGap,01/11/2013,9:30 AM,10:30 AM,Indigo Bay,Mobile,"Target multiple mobile platforms with the same code using PhoneGap. Adam will create a mobile application for both iPhone and Android by the end of the demonstration. In this introduction to PhoneGap, learn to leverage your current skill set: integrate HTML, JavaScript, and jQuery with simple OData integration.  Adam will also discuss the advantages and disadvantages of using a cross-platform environment for building mobile applications."
Dan Steinberg: iOS 6 - The Perfect Time to Start Developing for iPhone and iPad,01/10/2013,9:45 AM,10:45 AM,Salon A,Mac/iPhone,"You've been meaning to write an app for the App Store for years. It turns out that all of your delays have really paid off. This is the perfect time to get started writing apps for iPhone and iPad. The tools, the language, and the platform has matured.

In this session we'll take a brief look at the four cornerstones of developing for the iOS platform. You'll take a quick look at Xcode, the IDE for creating your apps, and Objective-C, the language for iOS development. We'll then take a brief tour of View Controllers, the anchors of any Cocoa Touch application, and storyboards. "
Daniel Steinberg: iOS 6 Quick Start (Wednesday Half Day AM),01/09/2013,8:30 AM,12:30 PM,Aloeswood/Lepoardwood,iOS,"You'll learn what it takes to write an iPhone or iPad app in the few hours between breakfast and lunch.

The first half of this hands-on session will get you started creating projects in Xcode and working with the basics of Objective-C. After the break we'll play with the patterns of iOS development for getting the most out of View Controllers and storyboards. Our goal with this session is to give you a sense of what iOS development is all about. Once you're done you can go to the books, the tutorials, and the Apple docs to build the apps you want.

If you want to code along with us, you'll need to bring a Mac running at least OS X 10.7 Lion but preferably OS X 10.8 Mountain Lion. Download and install the latest version of Xcode from the Mac App Store. Also, you'll be happier if you download the documentation from Xcode's preferences pane.
"
Travis Smith: Jack (or Java) and the Beanstalk   ,01/10/2013,3:35 PM,4:35 PM,Orange,Java,"Amazon is providing the ability to leverage their resources as a full scale PaaS in elastic beanstalk. We'll discuss how elastic beanstalk works, show what it takes to setup a simple Java webapp and launch it up in Amazon. Talk about other services that can be easily leveraged within AWS to help support application deployments of this type. Also cover other platforms and deployment methods Amazon supports with Beanstalk. "
Christopher Judd: Java in the (Amazon) Clouds  (Wednesday Half Day PM),01/09/2013,1:30 PM,5:30 PM,D,Cloud,"Wonder what all the Cloud Computing hype is about? Want to know how to deploy a standard Java web application to the cloud and get limitless scalability? Well, this hands on tutorial will answer all your questions and provide confidence by walking you through the process of deploying a sophisticated Java web application to the Amazon Web Service (AWS) Cloud. During this tutorial you will provision clustered servers (EC2), relational database (EC2 and EBS), load balancer (Elastic Load Balancing),  content delivery (Cloud Front) and how to monitor your whole infrastructure. Other Amazon Web Services will be demonstrated and discussed as appropriate.

Note: An Amazon Web Services Account is a nice to have and will incur a minimal cost during the tutorial but is not a requirement. Access to AWS will be provided to you if you don’t already have access."
Charles Oliver Nutter: JVM Bytecode for Dummies,01/10/2013,9:45 AM,10:45 AM,Orange,Java,"You've written applications for the JVM, using various frameworks and maybe even various languages. You understand how to rig up the CLASSPATH, get .class files to load, compile source, and set up an IDE. But you've always wanted a better understanding of the plumbing underneath. How does JVM bytecode work? How does the JVM itself work? This tallk will walk you through JVM and JVM bytecode basics, with lots of examples how to subvert the JVM to your whims."
Charles Oliver Nutter: JVM JIT for Dummies,01/11/2013,1:45 PM,2:45 PM,Orange,Java,"You think you know all there is about building apps for the JVM. You've used all the cool tools. You've written your own persistence library or web frameworks. Maybe you've even implemented a JVM language. But do you really know what happens to your code after you hand it off to the JVM? This talk will explore the guts of the OpenJDK VM, Hotspot. We'll take a few simple examples from bytecode through optimization and compilation all the way down to assembly code, and learn how you can ensure your code runs as fast as possible."
Neal Ford: Keynote,01/10/2013,8:15 AM,9:30 AM,Dining Room,Other,
Richard Campbell: KidzMash: Internet Safety,01/10/2013,10:00 AM,11:00 AM,Acacia,Other,Internet safety
Aydin Akcasu: KidzMash: Kidz in Control,01/10/2013,3:00 PM,4:00 PM,Acacia,Other,Kidz in even MORE control
Carol Smith: KidzMash: Negotiation & Design Strategies,01/11/2013,3:00 PM,3:20 PM,Acacia,Other,Negotiation and design strategies
Carl Franklin: KidzMash: Programming Kinect,01/11/2013,10:00 AM,,Acacia,Other,Programming Kinect with gestures
Matt Vanvleet: KidzMash: R/C Helicopters,01/10/2013,1:00 PM,2:00 PM,Acacia,Other,Programming remote control helicopters
Jeff Blankenburg: KidzMash: Why I Write Software,01/11/2013,1:00 PM,,Acacia,Other,Looking at programming as a career choice
Todd Kaufman: Lean and Mean Domain Objects in Active Record (Tuesday Half Day AM),01/08/2013,8:30 AM,12:30 PM,Portia/Wisteria,Ruby,"Rails apps that have been extensively enhanced and maintained over the last few years are starting to fall apart under their own weight. Developers have struggled trying to find the most appropriate area to place logic within the system. Initially the ease of writing views in ERB led many developers to stow code at the front of the application. Then we began finding the views to difficult to maintain so we moved the logic into controllers or helpers. Eventually this also became difficult to maintain so we developed ""best practices"" like skinny controllers and fat models. Active Record domain models naturally become the dumping ground of logic within the system but sooner or later this leads to brittle, unmaintainable, bug filled systems.
Coupling persistence, validation, advanced querying, and business logic all into the same class inevitably leads to extremely fat models with any system of significance. Skinny controllers are definitely worth striving for, but shoveling all of the business logic into a class that is already overburdened with with three other concerns is a recipe for disaster. When you find yourself using factories, fixtures, or mocks to construct 8 different class dependencies, it's time to admit that fat models are not a solution worth aspiring to.
This talk will cover some different approaches for segregating the multiple concerns of fat Active Record models into loosely coupled, cohesive classes with single responsibilities. We'll dive into the both the process for refactoring these plump classes along with some better patterns of use for common AR bloat.
"
Chris Nelson: Lessons from Two Years of Backbone.js,01/10/2013,3:35 PM,4:35 PM,Salon D,JavaScript,"Backbone.js has exploded in popularity in the past couple years.  As one of the earlier shops to embrace it, we've learned a lot about how to use it more effectively over time.  We'll start with introducing backbone.js to catch everybody up that hasn't used it, but spend most of this session digging in a little deeper to cover topics like composite views, model relationships, error response handling, memory management, just to name a few. Expect to get a lot of out of this talk if you're new to backbone or even if you've been using it for awhile."
All Attendees: Lunch - Friday,01/11/2013,12:00 PM,1:30 PM,Dining Room,,
All Attendees: Lunch - Thursday,01/10/2013,12:15 PM,1:30 PM,Dining Room,,
All Attendees: Lunch - Tuesday,01/08/2013,12:30 PM,1:30 PM,Dining Room,,
All Attendees: Lunch - Wednesday,01/09/2013,12:30 PM,1:30 PM,Dining Room,,
Seth Juarez: Machine Learning - Predicting the Future,01/10/2013,9:45 AM,10:45 AM,Guava/Tamarind,.NET,"Often folks focus on OLAP and Relational Reporting as the primary focus of BI and as such miss out on the tremendous computational gems provided by standard machine learning algorithms. Additionally, classification (or predictive inference) is only half of what machine learning has to offer. Unsupervised learning, as a discipline, incorporates many non-predictive principles that allow for the condensing of large amounts of data in a structured and predictable way. The purpose of this session is to demystify the central ideas behind pattern recognition and machine learning by demonstrating the fundamental concepts behind classification. Most developers shy away from such algorithms simply because of their perceived difficulty while missing the inherent simplicity of these approaches. This session will demonstrate how a computer can learn from labeled examples in order to predict appropriate labels for future examples.

The session will highlight Decision Trees, the Perceptron Algorithm, and introduce attendees to non-linear classifiers through the standard Kernel Trick. This friendly introduction will allow attendees to begin using these standard algorithms to create predictive software without the hassle of having to write difficult code.
"
Seth Juarez: Machine Learning - Understanding the Past,01/10/2013,11:00 AM,12:00 PM,Guava/Tamarind,.NET,"Often folks focus on OLAP and Relational Reporting as the primary focus of BI and as such miss out on the tremendous computational gems provided by standard machine learning algorithms. Additionally, classification (or predictive inference) is only half of what machine learning has to offer. Unsupervised learning, as a discipline, incorporates many non-predictive principles that allow for the condensing of large amounts of data in a structured and predictable way. The purpose of this session is to demystify the central ideas behind pattern recognition and machine learning by demonstrating the fundamental concepts behind classification. Most developers shy away from such algorithms simply because of their perceived difficulty while missing the inherent simplicity of these approaches. This session will demonstrate how a computer can learn from unlabeled examples in order to learn the structure of data and its implications for the future. This session will highlight the popular KMeans Algorithm, Hierarchical Clustering, as well as the standard dimensionality reducing technique called Principal Component Analysis. This friendly introduction will allow attendees to begin using these standard algorithms to create inductive software without the hassle of having to write difficult code."
"Jeremy Miller: Making Test Automation with Web Applications Work (Wednesday Half Day, AM)",01/09/2013,8:30 AM,12:30 PM,Nile,Testing,"In a perfect world we would have automated test coverage for every significant part of our web applications that consistently provides quick and useful regression feedback.  In the real world automated testing efforts frequently fail because the tests are too time-consuming to author, too brittle when the underlying application changes, too flaky with asynchronous timing, or just flat out too slow.  After way too much teeth gnashing and a lot of struggling, I think my team has hit on a workable formula for successful test automation.  I’ll share our lessons learned about which tests are worth writing and which aren’t, balancing cheaper whitebox tests versus more comprehensive blackbox testing, and how to express the test scenarios to promote readability and minimize coupling.  I’ll show you some relatively simple strategies for dealing with asynchronous screen behavior.  I’ll demonstrate the approach we use to make setting up test data as declarative as possible while trying to decouple the test scenarios from being coupled to the application internals.  Lastly, I’ll talk about the application architecture choices you can make to reduce the effort to reward ration of your automated testing effort. 
My previous team used StoryTeller, WebDriver, Jasmine, and TeamCity to create and execute our automated tests, but I believe that these techniques are applicable to other tools like Cucumber, SpecFlow,m or WatiN/Watir as well.
"
"Frederic Simon: Managing Modular Software for your NuGet, C++ and Java Development",01/10/2013,4:50 PM,5:50 PM,Guava/Tamarind,Continuous Deployment,"Binary repository is one of the cornerstones of building modular software. In this session we will demonstrate how it can be used to support modular development in Java, C++ and the .NET platform (using NuGet).
Next, we will show how to take the binary repository one step forward to support Continuous Deployment and Release Management by using build integration features which allow full traceability and automation of staging and release procedures. "
Dan Shultz: Mastering ActiveRecord Scopes and Active Relationship,01/11/2013,1:45 PM,2:45 PM,Cypress,Ruby,"Most Rails developers only tap the surface of what ActiveRecord provides and never utilize the power of ActiveRelationship (ARel). ActiveRecord allows you to mix and match scopes in addition to merge scopes from related models to prevent duplication and provide great flexibility in composing your data. Additionally, you can leverage ActiveRelationship to write complex joins, selects, aggregations and even unions which can also be merged as scopes to cleanly build queries. This talk will teach you how you can use ActiveRecord and ActiveRelationship together in order to build flexible and powerful sql queries without actually ever writing a line of raw sql."
All Attendees: Mixer,01/08/2013,6:00 PM,8:00 PM,TBD,,
Carl Quinn: Netflix's OSS Cloud,01/11/2013,9:30 AM,10:30 AM,Nile,Java,"This talk presents a general overview of the Netflix cloud architecture built upon theAmazon Web Services (AWS) foundation. It covers how we use existing AWS features to improve the manageability of our cloud objects, and how we add a few abstractions to tie the AWS objects neatly together.

It also covers some of the Netflix OSS tools (and a few non-OSS), and how they fit into this picture to help run the show. Among those covered will be:

   * Asgard - A web interface for application deployments and cloud management in AWS.
   * Archaius - A library and API for live configuration management.
   * Eureka - A service registry for resilient mid-tier load balancing and failover.
   * SimianArmy - Tools for keeping your cloud operating in top form. Chaos Monkey is a resiliency tool that helps applications tolerate random instance failures.
   * Servo - The Netflix Application Monitoring Library
   * Epic / Atlas (not yet OSS): complete central monitoring system and dashboard
   * Chronos (not yet OSS): The central log of fine-grained events detailing everything that happens in AWS
   * CAG (not yet OSS): The central alerting gateway for directing emails and pages.
   * Edda - A central log of AWS object life cycles for historic reference.
   * Bakeri - The baker of AMIs.
   * Odin - A client-side framework for driving automation of the above.
"
Harimohan Bawa: NFC Application Development on Android 4.x,01/10/2013,4:50 PM,5:50 PM,Zambezi,Mobile,"Near Fields Communication (NFC) is popular in commercial applications but now-a-days is gaining attraction at consumer level through smart phone devices. NFC has a strong potential in various industries like Finance, eCommerce, Entertainment, Logistics, Security etc. and new Android devices are getting introduced with NFC technology built in and ready to use.

In this session, Hari Bawa will cover getting started developing NFC application using Android 4.x API along with demo.
"
Gary Short: Not Everything is an Object: Functional Superiority with Clojure,01/10/2013,4:50 PM,5:50 PM,Orange,Clojure,"We all know the saying that when your only tool is a hammer then every problem looks like Justin Bieber's face. If your only tool is an OO language then you start to force every solution domain into fitting the standard OO solution domain. This is flawed thinking and leads to broken or brittle software. In this session I'll show you that not every problem is well suited to an OO solution and what other solutions are available to you, with examples in Clojure."
Jimmy Bogard: NServiceBus Crash Course (Tuesday All Day),01/08/2013,8:30 AM,5:30 PM,Cypress,.NET,"Interested in learning how to build reliable systems? Curious to see what NServiceBus brings over technologies like WCF? Or just want to learn about reliable messaging?

Bring your laptop, and we'll examine through hands-on coding how NServiceBus builds reliability in. We'll tour the major messaging patterns - One-way sending, request/reply, pub/sub, sagas and more. We'll also see what NServiceBus adds on top of messaging frameworks like Azure Queues and MSMQ. Finally, I'll share some of my experiences bringing unreliable systems under control with durable messaging.
"
Joshua Smith: NSPredicates for Fun and Profit,01/10/2013,3:35 PM,4:35 PM,Salon A,Mac/iPhone,"NSPredicates aren’t just for Core Data. NSPredicates are part of the
Foundation classes and can be used with collections in ways that make
your code more testable and easier to maintain. They are, however not
well documented and notoriously difficult to create. Sure, once
created they are easy to use and let you do things that are very
difficult without them. In this intermediate session we will cover
what NSPredicates are, where they can be used, how to debug them, and
how to replace difficult to maintain iterative code with elegant
predicates. You should have a good understanding of Objective C and
the collections. While we will cover some of Core Data, this is not a
Core Data session."
Chris Adamson: Objective-C Is Not Java,01/10/2013,11:00 AM,12:00 PM,Salon A,Mac/iPhone,"Look past the square braces and the damned header files and Objective-C -- the essential language of iOS development -- really isn't that different from other object-oriented languages. Classes, single-inheritance, polymorphism, implementation hiding... check, check, check, and check. So it's really not that difficult for old Java / Python / Ruby / C++ dogs to learn new tricks once they install Xcode, right?
To be a competent Obj-C programmer, not that hard.
To be a great Obj-C programmer... now that's another story.
In this session, we will look at traits that are unique to Objective-C, the tricks that bring out the expressiveness and power of the language. We'll also look at how to write idiomatic code that will be easily understood and maintained by other Objective-C developers. We'll look at how Automatic Reference Counting resembles but is really nothing like Garbage Collection, how properties put plain old instance variables to shame, how we loosely couple classes with delegates and notification, how blocks help us un-block our code by simplifying asynchronicity, and more."
TBD: Panel Discussion,01/09/2013,7:00 PM,8:30 PM,TBD,,
All Attendees: Pecha Kucha,01/10/2013,7:00 PM,9:00 PM,TBD,,
"Seth Ladd: Performance, Productivity. Pick Two with Dart.",01/10/2013,9:45 AM,10:45 AM,Cypress,Other,"Be productive building high-performance web apps! Learn how to use Dart to build structured apps for the entire modern web, and scale from small scripts to large apps. Bonus: see how you can build with Web Components today with Dart."
James Ward: Practicing Continuous Delivery,01/11/2013,9:30 AM,10:30 AM,Aloeswood/Leopardswood,Continuous Deployment,"This session will teach you best practices and patterns for doing Continuous Delivery / Continuous Deployment in Cloud environments. You will learn how to handle schema migrations, maintain dev/prod parity, manage configuration and scaling."
Bryan Reinero: Processing Big Data with MongoDB,01/11/2013,9:30 AM,10:30 AM,Rosewood,Other,"An introduction to MongoDB’s tools to technologies to efficiently process large quantities of data. Topics include:

Map-Reduce Useful for batch processing of data and aggregation operations. It is similar in spirit to Hadoop with all input coming from a collection and output going to a collection. Map and reduce functions are written in JavaScript and execute on the server.

The Aggregation Framework is an alternate to Map-Reduce while providing a powerful means to calculate aggregate values. The aggregation framework can be used to perform SQL-like group-bys, distincts and self-joins. The aggregation framework also provides projection facilities which reshape data, add computed fields, create virtual sub-objects, and to extract sub-fields to results.

Hadoop Integration is a series of plugins for the Hadoop platform to allow connectivity to MongoDB The Hadoop connector allows both reading MongoDB data into Hadoop (for use in MapReduce jobs as well as other components of the Hadoop ecosystem), as well as writing the results of Hadoop jobs out to MongoDB."
Eric Hankinson: Puppet for Developers,01/10/2013,9:45 AM,10:45 AM,Salon E,Other Languages,"Puppet is a configuration management tool that allows easy and automated provisioning of servers by describing the packages, configuration, and system services. Along with continuous integration tools like Jenkins, it is a means to accomplishing continuous delivery, automating the operations side, and enabling testing of systems configuration. While systems provisioning is traditionally for system administrators, Puppet can empower developers. When combining Vagrant with Puppet, developers can easily spin up virtual machines with the same configuration as production servers to do development or testing, and tear them down afterwards.

You will see how to install and manage Puppet nodes with installed web and database servers, config files, and all the supporting services. Learn how Puppet can provision Vagrant and VirtualBox for application and infrastructure testing. You'll also learn how to write your own custom Facts as well as how to test your Puppet manifests with RSpec."
Gary Fredericks: Put Some Parentheses in your Browser: an introduction to ClojureScript,01/10/2013,11:00 AM,12:00 PM,Orange,Clojure,"ClojureScript is a new dialect of Clojure that compiles to JavaScript. We will discuss why you should consider using it over existing JavaScript languages like CoffeeScript, and cover build tools, web development libraries, how to use existing JavaScript libraries, and sharing code with the JVM."
Guy Royse: Putting the D&D in TDD (Wednesday All Day),01/09/2013,8:30 AM,5:30 PM,A,Other,"Are you tired of TDD workshops that make you do boring things like calculate bowling scores and prime factors or demonstrate how to win at the game of life? If so, this is the session for you! In this TDD workshop we will be building the domain model for EverCraft -- a new MMORPG from Blizzards of the Coast.  We have lots of story cards prepared covering features from combat to magic, classes to spells, and races to items. Plus, we'll be defining some of these cards during the session in case you want that +9 knife of ogre slaying or enjoy casting magic missile at the darkness. 

This workshop is language agnotisic and for all levels of developers. The focus is on TDD and emergent design but pair programming will be covered as well. The only requirement is that you bring a laptop and that you be able to test-drive you code with your language of choice.  When you are done you will emerge a better programmer for the experience but there is small chance you will have a craving for Cheetos and Mountain Dew."
Mark Greenway: Putting your Backbone Apps on strings : Backbone Marionette and its Lessons about Backbone,01/11/2013,10:45 AM,11:45 AM,Salon D,JavaScript,"Backbone is one of the top MVC frameworks for JavaScript.  Backbone Marionette is an open source project that takes backbone makes it fast and easy.  I will take popular backbone patterns and show how quickly and efficiently they can be done with marionette.  From collection views to event handling, this talk will show you how to create better JavaScript front ends than you have made before.  The talk will explain how Marionette is coded and operates, so that even if you don’t use it you can take back the techniques to your JavaScript code."
Jason Follas: Quantum Entanglement for your Web Apps using SignalR and Knockout ,01/10/2013,4:50 PM,5:50 PM,Aloeswood/Leopardswood,JavaScript,"In physics, two particles can act together in order to behave as one system so that a change made to one particle instantly affects the other - even if they are separated by great distances. This is known as Quantum Entanglement, which Albert Einstein called ""spooky action at a distance."" The closest analogy to this for web development would be to observe a web page instantly update in response to a user entering data in a different web browser. Believe it or not, this is not only possible today, but relatively easy by using two open source libraries together: SignalR and Knockout. SignalR is an asynchronous signaling library for .NET that helps to build real-time, multi-user systems. Knockout is a JavaScript library that brings MVVM pattern to the web page, providing observable data, templates, and automatic data binding. This session will demonstrate how to use this new paradigm to build highly interactive web applications."
Jamie Wright: Rails for the .NET Developer,01/11/2013,10:45 AM,11:45 AM,Cypress,Ruby,"""You live a new life for every new language you speak. If you know only one language, you live only once."" -- Czech proverb
It's good to learn new languages and environments. Different languages solve the same problems in different ways. By learning several different approaches, you can help broaden your thinking and identify the right tool for the right job.
As someone who has spent the last few years using both environments on a daily basis, we will compare and contrast web development in the Microsoft .NET world vs. web development using the Ruby on Rails stack. We will compare the languages, the tooling, the communities, and the frameworks. This session will help the .NET developer get started down the Rails rabbit hole."
"Rick Copeland: Rapid and Scalable Development with MongoDB, PyMongo, and Ming",01/10/2013,11:00 AM,12:00 PM,Cypress,Python,"This intermediate-level talk will teach you techniques using the popular NoSQL database MongoDB and the Python library Ming to write maintainable, high-performance, and scalable applications. We will cover everything you need to become an effective Ming/MongoDB developer from basic PyMongo queries to high-level object-document mapping setups in Ming."
Gary Short: Raspberry Pi Deep Dive,01/10/2013,11:00 AM,12:00 PM,Salon G,Hardware,The Raspberry Pi is a credit card sized computer developed by some Cambridge boffins. In this session I'll walk you through everything you need to do get up and running with it and then show you how to turn it into an Internet radio using Mono C# and VistaDB.
Keith Burnell: Reach the Mobile Masses with ASP.NET MVC 4 and jQuery Mobile,01/10/2013,3:35 PM,4:35 PM,Rosewood,.NET,"Creating web applications that will target multiple devices and platforms has become the web developers Holy Grail. Simple HTML pages render without issue no matter what browser or device they are viewed on but who codes simple HTML pages? What happens when you have a business need to hit all mobile platforms?
You don't have to write hundreds of lines of code to make this happen! 
	
In this talk Keith will demonstrate how using the latest version of ASP.NET MVC, MVC4, and jQuery Mobile allows you to develop web applications that target iPhone, iPad, Android, Windows Phone 7, and even Blackberry without having to code and style each platform separately.
"
Alexei Govorine: Realizing Agility with Scrum and Visual Studio 2012 (Tuesday All Day),01/08/2013,8:30 AM,5:30 PM,A,Process,"This full-day pre-compiler introduces the Scrum framework and the supporting tools found in Visual Studio. Attendees will get a crash course in Scrum and if you are already experienced in Scrum, never fear! We’ll provide value in the form of refinements and effective practices you can take back to your teams. 

After laying down a solid Scrum framework foundation, we’ll explore features in Visual Studio 2012 and Team Foundation Server 2012 that specifically target increasing productivity for Scrum Teams. Features and techniques to enable collaboration, increase quality, and increase your Definition of Done will all be visited.

This workshop is a healthy mix of both the people side of Agile and the engineering practices that enable value-focused interactive/incremental development."
Justin Searls: Real-world JavaScript Testing (Wednesday Half Day PM),01/09/2013,1:30 PM,5:30 PM,Zambezi,JavaScript,"Each year, more applications are being written for the browser entirely in JavaScript. If you're interested in taking front-end web technologies more seriously, then consider investing the time in this workshop.

This PreCompiler will be much more than a pedestrian review of information you could easily glean from a README or a written tutorial. Instead, attendees will be given opinionated, hands-on tour of how the presenters actually write code at their day jobs. That means we'll introduce the ""vanilla"" Jasmine API, but we'll quickly pivot to a workflow that we believe is even better; with tools like jasmine-fixture, jasmine-stealth, jasmine-given, and CoffeeScript. 

The workshop will be punctuated by a number of pair-programming labs: starting with a basic test-driven-development exercise, moving onto testing more complex object interactions, and graduating to AJAX and DOM manipulation situations that in a real web application.
"
Rob Tarr: Responsive JavaScript: Not Your Momma's JS,01/10/2013,1:45 PM,2:45 PM,Salon D,JavaScript,"Responsive Web Design (RWD) is all the rage. As the industry explores the patterns and design challenges of RWD, we need to examine the ways in which we write the JavaScript that powers the interactions. RWD has also presented some design challenges that CSS alone isn't ready for. We'll take a look at some of the leading JavaScript solutions to solve some of these problems as well as some of the problems that have still need solutions."
Bruce Eckel: Rethinking Errors: Learning from Scala and Go,01/10/2013,3:35 PM,4:35 PM,Sagewood/Zebrawood,Other,"C++ brought exceptions to mainstream programming, and Java goes further with checked exceptions. Both languages treat exceptions as the one way to report all kinds of errors. The Scala and Go languages introduce a new idea: There is more than one kind of error. Thus, there should be more than one kind of error reporting, and multiple different kinds of responses to errors. I’ll show some of the history and past experiments in error handling, then look at how Scala and Go approach the error problem in a better way."
Bill Sempf: Riding the Metro: Real World Stories from the Trenches,01/11/2013,10:45 AM,11:45 AM,Aloeswood/Leopardswood,Windows 8,"If you are planning a Windows 8 app, you might want to hear from the trenches. Bill has been working full time on Windows Store apps and writing a book on programming Windows 8 for over a year. Come hear what he has learned about using Windows 8 every day as a development environment, coding in JavaScript for the desktop, async programming in a single threaded language, interacting with Windows 8 programmatically, and more."
Matt Barcomb: Rounding out whole-team quality through exploration (Tuesday Half Day AM),01/08/2013,8:30 AM,12:30 PM,H,Testing,"Do you ever get a creeping feeling there is more to software quality than test automation and clean code? Have you wondered about broader quality considerations beyond testing the specification? Have you tried to use smoke testing or ad-hoc testing to better inform quality issues, but don't get the results you're looking for? If so, this session can help by providing a refreshing aromatic blend of Exploratory Testing and visualization techniques your team can use instantly!
 
In this session you will learn a handful of light-weight practical approaches to round out your teams' quality wheelhouse. First, we will create a product quality strategy that will help guide your quality activities. Next, we will discuss Structured Exploratory Testing and practice creating charters to help inform on various aspects of quality. Finally, we will review some simple techniques for visualizing quality activities and enhance a team's workflow."
Steve Klabnik: Ruby for (Possible) Converts (Wednesday Half Day AM),01/09/2013,8:30 AM,12:30 PM,Portia/Wisteria,Ruby,"
Are you experienced in a language like C/C++/C# or Java? Are you a little Ruby-curious? This session is for you.

We'll start with a quick introduction to fundamental Ruby syntax and patterns, get you started on a project, then turn you loose to practice and discover.

Please note that this session is focusing on pure Ruby and will not dive into Rails.
"
Steve Klabnik: Ruby Style and Object-Oriented Programming (Wednesday Half Day PM),01/09/2013,1:30 PM,5:30 PM,Portia/Wisteria,Ruby,"Ruby has a cute syntax and a rich set of libraries -- but neither is useful in the long run without and understanding of how to design Ruby objects. What does a good method look like? When should you use codules instead of classes? How do you take advantage of blocks?
Optional parameters? Duck typing?

If you are familiar with the basis of Ruby syntax, this session can help take your design to the next level. We'll pursue a solution to a simple project while emphasizing the design of modules, classes, methods and lines of code. We'll look at a few methods for abstraction and refactoring, especially focusing on techniques that show off Ruby's more unusual capabilities and patterns.

Please note that this session is focusing on pure Ruby and will not dive into Rails.
"
Jonathan Penn: RubyMotion for iOS,01/11/2013,9:30 AM,10:30 AM,Salon A,Mac/iPhone,"RubyMotion is a brand new project built by the creator of MacRuby that finally brings the power of native Ruby application development to iOS. RubyMotion gives you a way to quickly bootstrap, compile, deploy code written in Ruby that accesses all the raw power of the Cocoa Touch and Core Foundation APIs.

Under the hood, Objective C shares a lot in common with RubyMotion. It's not a translated bridge. The Ruby object model is built right on top of the Objective C runtime. We'll explore how it works, get a taste of its flexibility, see some demos in action, and talk about the pitfalls that await the brave souls who live on the cutting edge."
Bruce Eckel: Scala as a Better Java,01/11/2013,9:30 AM,10:30 AM,Orange,Scala,"One of the major C++ design goals was to bring C programmers into a world of better programming by allowing them to primarily program in what they know (C), and add C++ features as they learn them. This way, C++ got “the camel’s nose inside the tent” (and the rest of it eventually followed). This presentation will emphasize the advantages of “Programming Java in Scala” by translating selected examples from Thinking in Java 4th Edition. You’ll learn how you can make your Java life much better by coding in Scala."
